NIS;CATEGORIA;TIPO;RUBRO;DENOMINACION;PROVINCIA;PARTIDO;LOCALIDAD;CALLE;NUMERO;TITULAR;DDN;TELEFONO1;FAX;AREA;ZONA;NIS DEPENDENCIA;NOMBRE DEPENDENCIA;REGION;CATEGORIA DE SUCURSAL;EN RED;LIQUIDACION;EXENTO;DIVISION;SOCIEDAD;ALMACEN;CENTRO DE BENEFICIO;OFICINA DE CARGA DE CCT/ADMIN;CENTRO DE COSTO COMERCIAL;CENTRO DE COSTO COMERCIAL CORPORATIVO;CENTRO DE COSTO ELECTORAL;CENTRO DE COSTO GESTION DE RED;CENTRO DE COSTO OPERACIONES;CENTRO DE COSTO OPERATIVO;CENTRO DE COSTO RRHH;CENTRO DE COSTO SEGURIDAD;CENTRO DE COSTO ADMINISTRCION;CENTRO DE COSTO ADMISION;CENTRO DE COSTO CTP;CENTRO DE COSTO CTT;CENTRO DE COSTO TRANSPORTE;CENTRO DE COSTO LOGISTICA;Punto de Venta AUTO/AUTO;Punto de Venta CUENTA CORRIENTE;Punto de Venta MANUAL;Punto de Venta MANUAL/AUTO;Punto de Venta PLANTA MONTE GRANDE;Punto de Venta VIRTUAL;Punto de venta AUTO/AUTO;Punto de venta TERMINAL CARGA SAP;PAQAR_ADMISION;PAQAR_ENTREGA
B6638;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MORENO RAPHA INSUMOS ESTETICOS;BUENOS AIRES        ;MORENO                        ;MORENO;MARTINEZ MELO PEDRO                                                                         ;151;OSVALDO JOSE SANCHEZ;237;;;METROPOLITANA                 ;ZONA 5;B0171;MORENO                        ;METROPOLITANA                 ;C;  ;;;4405;;;9250285405;;71025405;;;;;;;;;;;;;;;;;;;;;9423;X;X
B6639;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;JUNIN UP 4;BUENOS AIRES        ;JUNIN                         ;JUNIN;LAS GALLARETAS                                                                              ;605;MAYRA SOLEDAD PESCIALLO;2364;62-6015;;BUENOS AIRES - LA PAMPA       ;ZONA 5;B0355;JUNIN                         ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B287;;;9020263287;;71002287;;;;;;;;;;;;;;;;;;;;;9430;X;X
B6640;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MUÑIZ MUNDO LIMPIEZA;BUENOS AIRES        ;SAN MIGUEL                    ;MUÑIZ;PAZ GENERAL JOSE MARIA                                                                      ;591;RODRIGUEZ LUCAS EZEQUIEL;11;;;METROPOLITANA                 ;ZONA 5;B0030;SAN MIGUEL                    ;METROPOLITANA                 ;C;  ;;;4225;;;9253116225;;71025225;;;;;;;;;;;;;;;;;;;;;9431;X;X
B6641;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;MORENO GRUPO NUÑEZ SEGUROS;BUENOS AIRES        ;MORENO                        ;CUARTEL V;PORTUGAL                                                                                    ;4998;PANIAGUA NUÑEZ NAHUEL EZEQUIEL;237;;;METROPOLITANA                 ;ZONA 5;B0171;MORENO                        ;METROPOLITANA                 ;C;  ;;;4405;;;9250285405;;71025405;;;;;;;;;;;;;;;;;;;;;9432;X;X
B6642;UNIDAD POSTAL                 ;UP;PETSHOP;GRAL. RODRIGUEZ UP 12;BUENOS AIRES        ;GENERAL RODRIGUEZ             ;GENERAL RODRIGUEZ;LOPEZ Y PLANES VICENTE                                                                      ;208;KEVIN PATRICIO UÑO;237;;;BUENOS AIRES - LA PAMPA       ;ZONA 4;B0344;GRAL. RODRIGUEZ               ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B245;;;9020254245;;71002245;;;;;;;;;;;;;;;;;;;;;9434;X;X
B6643;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;LA PLATA UP NRO. 152;BUENOS AIRES        ;LA PLATA                      ;SAN LORENZO;31;2004;BULHMANN VALFRE ANIBAL JESUS;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0206;LA PLATA 6                    ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B449;;;9020266449;;71002449;;;;;;;;;;;;;;;;;;;;;9436;X;X
B6644;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SAN MARTIN LASERBEAM;BUENOS AIRES        ;GENERAL SAN MARTIN            ;GENERAL SAN MARTIN;PUEYRREDON                                                                                  ;4684;MISTORNI JULIAN;11;;;METROPOLITANA                 ;ZONA 5;B0000;SAN MARTIN                    ;METROPOLITANA                 ;C;  ;;;4224;;;9250255224;;71025224;;;;;;;;;;;;;;;;;;;;;9437;X;X
B6645;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SANTOS LUGARES BARBARA FOX BEL;BUENOS AIRES        ;TRES DE FEBRERO               ;SANTOS LUGARES;CERASO DOCTOR                                                                               ;1444;RIVEROS DAVID BENJAMIN;11;;;METROPOLITANA                 ;ZONA 5;B0173;SANTOS LUGARES                ;METROPOLITANA                 ;C;  ;;;4258;;;9253128258;;71025258;;;;;;;;;;;;;;;;;;;;;9438;X;X
B6646;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;JUNIN UP 5;BUENOS AIRES        ;JUNIN                         ;JUNIN;BELGRANO MANUEL                                                                             ;229;MARIA SILVIA LATORRE;2364;;;BUENOS AIRES - LA PAMPA       ;ZONA 5;B0355;JUNIN                         ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B287;;;9020263287;;71002287;;;;;;;;;;;;;;;;;;;;;9439;X;X
B6647;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;CHIVILCOY UP 10;BUENOS AIRES        ;CHIVILCOY                     ;CHIVILCOY;COLON                                                                                       ;249;MARIANO ANDRES BRUSCHI;2346;;;BUENOS AIRES - LA PAMPA       ;ZONA 4;B0328;CHIVILCOY                     ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B179;;;9020226179;;71002179;;;;;;;;;;;;;;;;;;;;;9445;X;X
B6648;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;V ADELINA MOTOMENSAJERIA ROMAN;BUENOS AIRES        ;SAN ISIDRO                    ;VILLA ADELINA;EL INDIO                                                                                    ;176;MENDOZA GERMAN;11;;;METROPOLITANA                 ;ZONA 6;B0003;VILLA ADELINA                 ;METROPOLITANA                 ;C;  ;;;4253;;;9253115253;;71025253;;;;;;;;;;;;;;;;;;;;;9451;X;X
B6649;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;CHIVILCOY UP 11;BUENOS AIRES        ;CHIVILCOY                     ;CHIVILCOY;YRIGOYEN PRESIDENTE HIPOLITO                                                                ;251;MAXIMILIANO RAUL RUIZ;2346;;;BUENOS AIRES - LA PAMPA       ;ZONA 4;B0328;CHIVILCOY                     ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B179;;;9020226179;;71002179;;;;;;;;;;;;;;;;;;;;;9465;X;X
B6650;UNIDAD POSTAL                 ;UP;POLIRUBRO;JUAN N FERNÁNDEZ UP 2;BUENOS AIRES        ;NECOCHEA                      ;JUAN N FERNANDEZ;24;1720;ALAN NAHUEL ABBADIE;2264;;;BUENOS AIRES - LA PAMPA       ;ZONA 8;B0924;J.N. FERNANDEZ                ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B282;;;9020288282;;71002282;;;;;;;;;;;;;;;;;;;;;9466;X;X
B6651;UNIDAD POSTAL                 ;UP;KIOSCO;NUEVA ATLANTIS UP NRO. 3;BUENOS AIRES        ;LA COSTA                      ;NUEVA ATLANTIS;ROLDAN                                                                                      ;484;MONICA ELIZABETH LOPEZ;;;;BUENOS AIRES - LA PAMPA       ;ZONA 7;B0953;SAN BERNARDO DEL TUYU         ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B420;;;9020264420;;71002420;;;;;;;;;;;;;;;;;;;;;9467;X;X
B6652;UNIDAD POSTAL                 ;UP;LIBRERIA;SICARDI UP 2;BUENOS AIRES        ;LA PLATA                      ;PARQUE SICARDI;659;0;NATALIA LUJAN CANELO;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0205;LA PLATA 5                    ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B447;;;9020266447;;71002447;;;;;;;;;;;;;;;;;;;;;9468;X;X
B6653;UNIDAD POSTAL                 ;UP;KIOSCO;LA PLATA UP NRO. 153;BUENOS AIRES        ;LA PLATA                      ;LA PLATA;35;976;BENZO MAXIMILIANO SEBASTIAN;221;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0201;LA PLATA 1                    ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B438;;;9020266438;;71002438;;;;;;;;;;;;;;;;;;;;;9470;X;X
B6654;UNIDAD POSTAL                 ;UP;PUNTO CORREO OPERATIVA;PILA UP 2;BUENOS AIRES        ;PILA                          ;PILA;BELGRANO GENERAL MANUEL                                                                     ;658;MARIA LEONOR ARANCIAGA;2242;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0971;PILA                          ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B370;;;9020295370;;71002370;;;;;;;;;;;;;;;;;;;;;9496;X;X
